x;y;u
-0.9;0.544444;4.21751e-33
-0.9;0.555556;6.19352e-33
-0.9;0.566667;5.60402e-33
-0.9;0.577778;8.19771e-33
-0.9;0.588889;6.97321e-33
-0.9;0.6;4.37194e-33
-0.9;0.611111;7.88166e-33
-0.9;0.622222;7.23817e-33
-0.9;0.633333;4.0107e-33
-0.9;0.644444;7.65974e-33
-0.9;0.655556;7.1462e-33
-0.9;0.666667;3.94616e-33
-0.9;0.677778;7.6404e-33
-0.9;0.688889;3.97661e-33
-0.9;0.7;4.31691e-33
-0.9;0.711111;7.72588e-33
-0.9;0.722222;5.72713e-33
-0.9;0.733333;3.88708e-33
-0.9;0.744444;7.61128e-33
-0.9;0.755556;3.85571e-33
-0.9;0.766667;3.85571e-33
-0.9;0.777778;3.82433e-33
-0.9;0.788889;3.807e-33
-0.9;0.8;7.46537e-33
-0.9;0.811111;4.25286e-33
-0.9;0.822222;6.4172e-33
-0.9;0.833333;6.48564e-33
-0.9;0.844444;3.70055e-33
-0.9;0.855556;3.70055e-33
-0.9;0.866667;3.60398e-33
-0.9;0.877778;6.95042e-33
-0.9;0.888889;4.74628e-33
-0.9;0.9;5.91792e-33
-0.9;0.911111;6.05553e-33
-0.9;0.922222;4.47512e-33
-0.9;0.933333;6.70062e-33
-0.9;0.944444;3.54148e-33
-0.9;0.955556;6.92063e-33
-0.9;0.966667;3.5104e-33
-0.9;0.977778;3.47943e-33
-0.9;0.988889;3.41817e-33
-0.9;1;6.81284e-33
-0.9;1.01111;3.3878e-33
-0.9;1.02222;3.3878e-33
-0.9;1.03333;3.3878e-33
-0.9;1.04444;3.35754e-33
-0.9;1.05556;3.35754e-33
-0.9;1.06667;3.32748e-33
-0.9;1.07778;3.29608e-33
-0.9;1.08889;6.58695e-33
-0.9;1.1;3.26753e-33
-0.891;-1.11111;4.96441e-33
-0.891;-1.1;5.3191e-33
-0.891;-1.08889;4.10128e-33
-0.891;-1.07778;5.94194e-33
-0.891;-1.06667;3.41886e-33
-0.891;-1.05556;3.32764e-33
-0.891;-1.04444;3.32764e-33
-0.891;-1.03333;6.43231e-33
-0.891;-1.02222;3.3576e-33
-0.891;-1.01111;6.4746e-33
-0.891;-1;3.43768e-33
-0.891;-0.988889;6.39254e-33
-0.891;-0.977778;3.4488e-33
-0.891;-0.966667;6.12053e-33
-0.891;-0.955556;5.05501e-33
-0.891;-0.944444;5.53871e-33
-0.891;-0.933333;6.01118e-33
-0.891;-0.922222;4.47607e-33
-0.891;-0.911111;6.79802e-33
-0.891;-0.9;3.60404e-33
-0.891;-0.888889;7.15777e-33
-0.891;-0.877778;3.57271e-33
-0.891;-0.866667;6.79106e-33
-0.891;-0.855556;5.50281e-33
-0.891;-0.844444;5.3604e-33
-0.891;-0.833333;7.04949e-33
-0.891;-0.822222;3.66702e-33
-0.891;-0.811111;7.30098e-33
-0.891;-0.8;5.17331e-33
-0.891;-0.788889;3.78961e-33
-0.891;-0.777778;3.78961e-33
-0.891;-0.766667;3.75849e-33
-0.891;-0.755556;3.85701e-33
-0.891;-0.744444;6.38397e-33
-0.891;-0.733333;4.61651e-33
-0.891;-0.722222;7.71642e-33
-0.891;-0.711111;5.39073e-33
-0.891;-0.7;5.90269e-33
-0.891;-0.688889;7.80354e-33
-0.891;-0.677778;3.98006e-33
-0.891;-0.666667;6.48404e-33
-0.891;-0.655556;7.86944e-33
-0.891;-0.644444;4.04108e-33
-0.891;-0.633333;6.59851e-33
-0.891;-0.622222;8.03214e-33
-0.891;-0.611111;5.33543e-33
-0.891;-0.6;6.26366e-33
-0.891;-0.588889;8.21569e-33
-0.891;-0.577778;6.37502e-33
-0.891;-0.566667;5.32662e-33
-0.891;-0.555556;8.18286e-33
-0.891;-0.544444;4.21744e-33
-0.891;-0.533333;4.21744e-33
-0.891;-0.522222;4.24664e-33
-0.891;-0.511111;8.40727e-33
-0.891;-0.5;6.14815e-33
-0.891;-0.488889;5.88918e-33
-0.891;-0.477778;8.43677e-33
-0.891;-0.466667;4.32738e-33
-0.891;-0.455556;4.3535e-33
-0.891;-0.444444;4.3535e-33
-0.891;-0.433333;4.37925e-33
-0.891;-0.422222;4.40448e-33
-0.891;-0.411111;4.51202e-33
-0.891;-0.4;4.42906e-33
-0.891;-0.388889;4.45459e-33
-0.891;-0.377778;8.03561e-33
-0.891;-0.366667;4.86817e-33
-0.891;-0.355556;4.49904e-33
-0.891;-0.344444;9.00246e-33
-0.891;-0.333333;8.49494e-33
-0.891;-0.322222;5.89368e-33
-0.891;-0.311111;-3.70807e-19
-0.891;-0.3;8.86663e-33
-0.891;-0.288889;9.05294e-33
-0.891;-0.277778;7.27565e-33
-0.891;-0.266667;5.31114e-33
-0.891;-0.255556;7.60952e-19
-0.891;-0.244444;9.33225e-33
-0.891;-0.233333;8.59216e-33
-0.891;-0.222222;6.07242e-33
-0.891;-0.211111;6.79637e-33
-0.891;-0.2;8.95931e-33
-0.891;-0.188889;9.40097e-33
-0.891;-0.177778;8.15456e-33
-0.891;-0.166667;5.24461e-33
-0.891;-0.155556;0.000128451
-0.891;-0.144444;0.0013756
-0.891;-0.133333;0.00253882
-0.891;-0.122222;0.00362031
-0.891;-0.111111;0.004601
-0.891;-0.1;0.00548495
-0.891;-0.0888889;0.00628039
-0.891;-0.0777778;0.00698846
