x;y;u
-1;0.79;2.80676e-33
-1;0.8;2.80829e-33
-1;0.81;2.80653e-33
-1;0.82;2.80421e-33
-1;0.83;2.80685e-33
-1;0.84;2.7968e-33
-1;0.85;2.79306e-33
-1;0.86;2.80052e-33
-1;0.87;2.80718e-33
-1;0.88;2.81019e-33
-1;0.89;2.81463e-33
-1;0.9;2.81285e-33
-1;0.91;-7.75973e-20
-1;0.92;2.80747e-33
-1;0.93;2.80676e-33
-1;0.94;2.80634e-33
-1;0.95;2.80665e-33
-1;0.96;2.80704e-33
-1;0.97;2.80762e-33
-1;0.98;2.80923e-33
-1;0.99;2.80986e-33
-0.99;-1;2.79284e-33
-0.99;-0.99;2.80079e-33
-0.99;-0.98;2.80874e-33
-0.99;-0.97;2.80941e-33
-0.99;-0.96;2.81102e-33
-0.99;-0.95;2.81145e-33
-0.99;-0.94;2.80268e-33
-0.99;-0.93;2.79635e-33
-0.99;-0.92;2.7991e-33
-0.99;-0.91;-1.5459e-19
-0.99;-0.9;2.80442e-33
-0.99;-0.89;2.80778e-33
-0.99;-0.88;2.80822e-33
-0.99;-0.87;2.81191e-33
-0.99;-0.86;2.81398e-33
-0.99;-0.85;2.80964e-33
-0.99;-0.84;2.80618e-33
-0.99;-0.83;2.80394e-33
-0.99;-0.82;2.80143e-33
-0.99;-0.81;2.80378e-33
-0.99;-0.8;2.80378e-33
-0.99;-0.79;2.80454e-33
-0.99;-0.78;2.80579e-33
-0.99;-0.77;2.80734e-33
-0.99;-0.76;2.80359e-33
-0.99;-0.75;2.80359e-33
-0.99;-0.74;2.80359e-33
-0.99;-0.73;2.80718e-33
-0.99;-0.72;2.81203e-33
-0.99;-0.71;2.80814e-33
-0.99;-0.7;2.80407e-33
-0.99;-0.69;2.80472e-33
-0.99;-0.68;2.80525e-33
-0.99;-0.67;2.80649e-33
-0.99;-0.66;2.81243e-33
-0.99;-0.65;2.81243e-33
-0.99;-0.64;2.80957e-33
-0.99;-0.63;2.81231e-33
-0.99;-0.62;2.80928e-33
-0.99;-0.61;2.80576e-33
-0.99;-0.6;2.80426e-33
-0.99;-0.59;2.81258e-33
-0.99;-0.58;2.81258e-33
-0.99;-0.57;2.80681e-33
-0.99;-0.56;2.80681e-33
-0.99;-0.55;2.80874e-33
-0.99;-0.54;2.80732e-33
-0.99;-0.53;2.80732e-33
-0.99;-0.52;2.80391e-33
-0.99;-0.51;2.807e-33
-0.99;-0.5;2.80485e-33
-0.99;-0.49;2.8057e-33
-0.99;-0.48;2.8057e-33
-0.99;-0.47;2.8043e-33
-0.99;-0.46;2.80766e-33
-0.99;-0.45;2.80386e-33
-0.99;-0.44;2.8087e-33
-0.99;-0.43;2.8087e-33
-0.99;-0.42;2.80892e-33
-0.99;-0.41;2.81293e-33
-0.99;-0.4;2.81003e-33
-0.99;-0.39;2.80579e-33
-0.99;-0.38;2.81246e-33
-0.99;-0.37;2.81227e-33
-0.99;-0.36;2.80936e-33
-0.99;-0.35;2.80397e-33
-0.99;-0.34;2.79185e-33
-0.99;-0.33;2.79585e-33
-0.99;-0.32;2.80301e-33
-0.99;-0.31;2.80984e-33
-0.99;-0.3;2.80968e-33
-0.99;-0.29;2.80979e-33
-0.99;-0.28;2.81145e-33
-0.99;-0.27;2.80241e-33
-0.99;-0.26;2.8023e-33
-0.99;-0.25;2.8028e-33
-0.99;-0.24;2.80097e-33
-0.99;-0.23;2.80643e-33
-0.99;-0.22;2.81146e-33
-0.99;-0.21;2.81225e-33
-0.99;-0.2;2.80949e-33
-0.99;-0.19;-3.87626e-20
-0.99;-0.18;2.80579e-33
-0.99;-0.17;2.80305e-33
-0.99;-0.16;2.80327e-33
-0.99;-0.15;2.80365e-33
-0.99;-0.14;3.10429e-05
-0.99;-0.13;0.000333882
-0.99;-0.12;0.000615893
-0.99;-0.11;0.000875734
-0.99;-0.1;0.0011143
-0.99;-0.09;0.00132539
-0.99;-0.08;0.00151621
-0.99;-0.07;0.00168636
-0.99;-0.06;0.00183501
-0.99;-0.05;0.0019612
-0.99;-0.04;0.00206808
-0.99;-0.03;0.00214347
-0.99;-0.02;0.00219622
-0.99;-0.01;0.00223254
-0.99;0;0.00225228
-0.99;0.01;0.0022341
-0.99;0.02;0.00219654
-0.99;0.03;0.0021402
-0.99;0.04;0.00206315
-0.99;0.05;0.00196456
-0.99;0.06;0.00183697
-0.99;0.07;0.00168865
-0.99;0.08;0.0015193
-0.99;0.09;0.00132515
-0.99;0.1;0.00111498
-0.99;0.11;0.000877569
-0.99;0.12;0.000616134
-0.99;0.13;0.000333234
-0.99;0.14;3.11468e-05
-0.99;0.15;1.93716e-20
-0.99;0.16;2.80713e-33
-0.99;0.17;2.80251e-33
-0.99;0.18;2.79912e-33
-0.99;0.19;2.79892e-33
-0.99;0.2;-7.73531e-20
-0.99;0.21;2.80631e-33
-0.99;0.22;2.8076e-33
-0.99;0.23;2.81026e-33
-0.99;0.24;2.81694e-33
-0.99;0.25;2.80891e-33
-0.99;0.26;2.80214e-33
-0.99;0.27;2.79935e-33
-0.99;0.28;-9.66204e-20
-0.99;0.29;2.80402e-33
-0.99;0.3;2.80283e-33
-0.99;0.31;2.80144e-33
-0.99;0.32;1.16036e-19
-0.99;0.33;2.80808e-33
-0.99;0.34;2.80959e-33
-0.99;0.35;2.80616e-33
-0.99;0.36;2.80305e-33
-0.99;0.37;2.80428e-33
-0.99;0.38;2.80687e-33
-0.99;0.39;2.80687e-33
-0.99;0.4;2.80736e-33
-0.99;0.41;2.80686e-33
-0.99;0.42;2.80686e-33
-0.99;0.43;2.80632e-33
-0.99;0.44;2.81057e-33
-0.99;0.45;2.80642e-33
-0.99;0.46;2.8058e-33
-0.99;0.47;2.80607e-33
-0.99;0.48;2.80781e-33
-0.99;0.49;2.80546e-33
-0.99;0.5;2.80788e-33
-0.99;0.51;2.8078e-33
-0.99;0.52;2.81398e-33
-0.99;0.53;2.80707e-33
-0.99;0.54;2.80707e-33
-0.99;0.55;2.8078e-33
-0.99;0.56;2.81152e-33
-0.99;0.57;2.81152e-33
-0.99;0.58;2.80038e-33
-0.99;0.59;2.80038e-33
-0.99;0.6;2.80914e-33
-0.99;0.61;2.8121e-33
-0.99;0.62;2.80717e-33
-0.99;0.63;2.80281e-33
-0.99;0.64;2.80413e-33
-0.99;0.65;2.8045e-33
-0.99;0.66;2.80373e-33
-0.99;0.67;2.80453e-33
-0.99;0.68;2.80655e-33
-0.99;0.69;2.80773e-33
-0.99;0.7;2.80922e-33
-0.99;0.71;2.8085e-33
-0.99;0.72;2.80781e-33
-0.99;0.73;2.80711e-33
-0.99;0.74;2.80659e-33
-0.99;0.75;2.80669e-33
-0.99;0.76;2.80659e-33
-0.99;0.77;2.81044e-33
-0.99;0.78;2.80676e-33
-0.99;0.79;2.80902e-33
-0.99;0.8;2.80685e-33
-0.99;0.81;2.80464e-33
-0.99;0.82;2.80685e-33
-0.99;0.83;2.79779e-33
-0.99;0.84;2.79306e-33
-0.99;0.85;2.79933e-33
-0.99;0.86;2.80718e-33
-0.99;0.87;2.80966e-33
-0.99;0.88;2.81411e-33
-0.99;0.89;2.81325e-33
-0.99;0.9;2.80907e-33
-0.99;0.91;2.80752e-33
-0.99;0.92;2.80681e-33
-0.99;0.93;2.80634e-33
-0.99;0.94;2.80663e-33
-0.99;0.95;2.80703e-33
-0.99;0.96;2.80758e-33
-0.99;0.97;2.80919e-33
-0.99;0.98;2.80986e-33
-0.99;0.99;2.80395e-33
-0.98;-1;7.73171e-20
-0.98;-0.99;2.79284e-33
-0.98;-0.98;2.80079e-33
-0.98;-0.97;2.80874e-33
-0.98;-0.96;2.80945e-33
-0.98;-0.95;2.81106e-33
-0.98;-0.94;2.81102e-33
-0.98;-0.93;2.80225e-33
-0.98;-0.92;2.79635e-33
-0.98;-0.91;2.7994e-33
-0.98;-0.9;2.8035e-33
-0.98;-0.89;2.80466e-33
-0.98;-0.88;2.80778e-33
-0.98;-0.87;2.80865e-33
-0.98;-0.86;2.81235e-33
-0.98;-0.85;2.81368e-33
-0.98;-0.84;2.80898e-33
-0.98;-0.83;2.80618e-33
-0.98;-0.82;2.80348e-33
-0.98;-0.81;2.80143e-33
-0.98;-0.8;2.80378e-33
-0.98;-0.79;2.80378e-33
-0.98;-0.78;2.80479e-33
-0.98;-0.77;2.80734e-33
-0.98;-0.76;2.80734e-33
-0.98;-0.75;2.80359e-33
-0.98;-0.74;2.80359e-33
-0.98;-0.73;2.80359e-33
-0.98;-0.72;2.8086e-33
-0.98;-0.71;2.81184e-33
-0.98;-0.7;2.80669e-33
-0.98;-0.69;2.8052e-33
-0.98;-0.68;2.80494e-33
-0.98;-0.67;2.80565e-33
-0.98;-0.66;2.80689e-33
-0.98;-0.65;2.81243e-33
-0.98;-0.64;2.81243e-33
-0.98;-0.63;2.81055e-33
-0.98;-0.62;2.8121e-33
-0.98;-0.61;2.8076e-33
-0.98;-0.6;2.80426e-33
-0.98;-0.59;2.80426e-33
-0.98;-0.58;2.81258e-33
-0.98;-0.57;2.80444e-33
-0.98;-0.56;2.80681e-33
-0.98;-0.55;2.81098e-33
-0.98;-0.54;2.80697e-33
-0.98;-0.53;2.80732e-33
-0.98;-0.52;2.80131e-33
-0.98;-0.51;2.80625e-33
-0.98;-0.5;2.80595e-33
-0.98;-0.49;2.80008e-33
-0.98;-0.48;2.8057e-33
-0.98;-0.47;2.8057e-33
-0.98;-0.46;2.80592e-33
-0.98;-0.45;2.80968e-33
-0.98;-0.44;2.80386e-33
-0.98;-0.43;2.8087e-33
-0.98;-0.42;2.8087e-33
-0.98;-0.41;2.81125e-33
-0.98;-0.4;2.81283e-33
-0.98;-0.39;2.8059e-33
-0.98;-0.38;2.80987e-33
-0.98;-0.37;2.81304e-33
-0.98;-0.36;2.811e-33
-0.98;-0.35;2.806e-33
-0.98;-0.34;2.79885e-33
-0.98;-0.33;2.79329e-33
-0.98;-0.32;2.801e-33
-0.98;-0.31;2.80767e-33
-0.98;-0.3;2.81022e-33
-0.98;-0.29;2.80904e-33
-0.98;-0.28;7.75269e-20
-0.98;-0.27;2.80491e-33
-0.98;-0.26;2.80158e-33
-0.98;-0.25;2.80345e-33
-0.98;-0.24;2.80087e-33
-0.98;-0.23;2.80514e-33
-0.98;-0.22;2.81033e-33
-0.98;-0.21;2.81306e-33
-0.98;-0.2;2.8092e-33
-0.98;-0.19;0.000391158
